truncated_sentence,genre,generated_sentence,model
"Not Louis 15 ,",fiction," 12-1-18

- 5-2-18 Louis and the National Anthem 11-9-17

- 5-8-18 Louis and the American flag 11-27-16

- 5-",openai-community/gpt2
"Not Louis 15 ,",fiction," ""Nashville"") (TBS, 1996)

1910 (TV: ""The Big Bang Theory"" or ""The Voice of God"")

1917 (TV: ""The Real Housewives of New York",openai-community/gpt2
Penny did not,adventure, get as much applause for his support for a new referendum when he announced that he would not seek re-election as premier.,openai-community/gpt2
Penny did not,adventure, know whether or not his phone had been taken and was told to look up who he knew that his son had been sent to and not if he still has the phone.,openai-community/gpt2
Penny did not,adventure, say whether she would take the case to trial.,openai-community/gpt2
As we ate,romance," and drank, I saw with my own eyes that this was truly about to happen.",openai-community/gpt2
As we ate,romance," a lot of mushrooms, we had a hard time seeing a large drop in our liver.",openai-community/gpt2
As we ate,romance,", the body began to produce more of a nutrient rich mess.",openai-community/gpt2
Here I took,religion," this picture of my daughter, who is 9, along with my sister Sophia and niece Sophia, on the 4th of July.",openai-community/gpt2
Here I took,religion," this picture of the two of them:

One with the light red body of E. coli and one of them with a green body of E. coli.

I was surprised to hear that these two had similar numbers of",openai-community/gpt2
Here I took,religion," up the task!

My aim as a professional photographer is to use an image as an illustration.",openai-community/gpt2
`` Get the,fiction," most recent changes, for each new version. -e'-f /etc/sudoers -> get -P /etc/sudoers'| sudo tee /etc/sudoers -U NODE_DELAY = 50",openai-community/gpt2
`` Get the,fiction," latest.

$ git checkout https://github.com/jamesjeffson/go_my_cocoa_server

$ cd go_my_cocoa_server $ make

$ sudo",openai-community/gpt2
`` Get the,fiction," result of this action: \ ( \ ( a + b, c ), d d )

Now, let's pretend that we want to find the last position of the left-most column in the table and write down the data",openai-community/gpt2
The clerk was,mystery," given the order of removal, according to the complaint.",openai-community/gpt2
The clerk was,mystery, then called into the restaurant to serve.,openai-community/gpt2
The clerk was,mystery," instructed to look the clerk in the eyes as to the cause of the alleged misconduct with the witness at the time the alleged misconduct took place and make ""reasonable effort to determine whether any particular officer in attendance was not personally responsible for the actions",openai-community/gpt2
It might be,belles_lettres," necessary to re-run some of the files for some of the new cards, for instance to save some cards' data to the SD card.",openai-community/gpt2
It might be,belles_lettres," because he had been told that a large-scale government program like the One Agency Program would help to reduce the number of terrorist attacks, but it's not as simple as that.",openai-community/gpt2
It might be,belles_lettres," that if you find a big drop in data, such as with the Galaxy S5, the power and performance of that particular OS might be affected.",openai-community/gpt2
We concluded that,learned, these data indicated that the level of the effect size was higher in overweight individuals than in non-overweight individuals.,openai-community/gpt2
We concluded that,learned," all clinical trials with the use of the L2A allele in animal models with a low or high prevalence of R2-induced cognitive impairment would demonstrate greater benefit to reduce the risk of developing R2-induced cognitive impairment.

",openai-community/gpt2
We concluded that,learned," the incidence of acute hepatitis A in the United States from 2003–08 was 0.42% for both men and women in the midgroup, and 0.46% for women. Our previous data on high-dose hepatitis B,",openai-community/gpt2
"Then , my mother",humor," had been watching my brother's play, listening to what his opponent had to say.",openai-community/gpt2
"Then , my mother",humor, came in this afternoon.,openai-community/gpt2
"Then , my mother",humor,", can you please return to my house and let me see that you will not suffer any more?""

I was going to stay here when she came to visit me, but she went away when she saw that I was alone",openai-community/gpt2
Those who are insecure,belles_lettres, in their sexuality are typically more likely to be sexually active than those who are insecure in their reproductive life.,openai-community/gpt2
Those who are insecure,belles_lettres, about their physical appearances have a negative perception of their sexual attraction or attractiveness.,openai-community/gpt2
Those who are insecure,belles_lettres,", insecure.",openai-community/gpt2
( Psalm 27,religion,:16 ).,openai-community/gpt2
( Psalm 27,religion,":35-41 ) The world could not bear the image of God, but his image was visible to the world from heaven where it was created and is the center of all earthly knowledge [ Psalm 26:10-11 ];",openai-community/gpt2
( Psalm 27,religion,:19-20) or the gospel.,openai-community/gpt2
